atom_site_type_symbol,atom_site_fract_x,atom_site_fract_y,atom_site_fract_z
"['Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge']","['0.01602800', '0.51602800', '0.48397200', '0.98397200', '0.01602800', '0.51602800', '0.48397200', '0.98397200', '0.85718100', '0.35718100', '0.64281900', '0.14281900', '0.14281900', '0.64281900', '0.35718100', '0.85718100', '0.18325800', '0.68325800', '0.31674200', '0.81674200', '0.69936100', '0.19936100', '0.80063900', '0.30063900', '0.30063900', '0.80063900', '0.19936100', '0.69936100', '0.32340200', '0.82340200', '0.17659800', '0.67659800', '0.05508300', '0.55508300', '0.44491700', '0.94491700']","['0.32383000', '0.17617000', '0.82383000', '0.67617000', '0.32383000', '0.17617000', '0.82383000', '0.67617000', '0.83436100', '0.66563900', '0.33436100', '0.16563900', '0.16563900', '0.33436100', '0.66563900', '0.83436100', '0.00233400', '0.49766600', '0.50233400', '0.99766600', '0.53509000', '0.96491000', '0.03509000', '0.46491000', '0.46491000', '0.03509000', '0.96491000', '0.53509000', '0.35294400', '0.14705600', '0.85294400', '0.64705600', '0.61182500', '0.88817500', '0.11182500', '0.38817500']","['0.90514500', '0.59485500', '0.09485500', '0.40514500', '0.59485500', '0.90514500', '0.40514500', '0.09485500', '0.87625300', '0.62374700', '0.12374700', '0.37625300', '0.12374700', '0.37625300', '0.87625300', '0.62374700', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.95903900', '0.54096100', '0.04096100', '0.45903900', '0.04096100', '0.45903900', '0.95903900', '0.54096100', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000']"
"['Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge']","['0.37968800', '0.87968800', '0.12031200', '0.62031200', '0.37968800', '0.87968800', '0.12031200', '0.62031200', '0.02462200', '0.52462200', '0.47537800', '0.97537800', '0.97537800', '0.47537800', '0.52462200', '0.02462200', '0.28552000', '0.78552000', '0.21448000', '0.71448000', '0.77808400', '0.27808400', '0.72191600', '0.22191600', '0.22191600', '0.72191600', '0.27808400', '0.77808400', '0.91169400', '0.41169400', '0.58830600', '0.08830600', '0.17438100', '0.67438100', '0.32561900', '0.82561900']","['0.16006300', '0.33993700', '0.66006300', '0.83993700', '0.16006300', '0.33993700', '0.66006300', '0.83993700', '0.82135400', '0.67864600', '0.32135400', '0.17864600', '0.17864600', '0.32135400', '0.67864600', '0.82135400', '0.99708600', '0.50291400', '0.49708600', '0.00291400', '0.53220400', '0.96779600', '0.03220400', '0.46779600', '0.46779600', '0.03220400', '0.96779600', '0.53220400', '0.88993500', '0.61006500', '0.38993500', '0.11006500', '0.36684700', '0.13315300', '0.86684700', '0.63315300']","['0.11467700', '0.38532300', '0.88532300', '0.61467700', '0.38532300', '0.11467700', '0.61467700', '0.88532300', '0.39737100', '0.10262900', '0.60262900', '0.89737100', '0.60262900', '0.89737100', '0.39737100', '0.10262900', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.54490200', '0.95509800', '0.45509800', '0.04490200', '0.45509800', '0.04490200', '0.54490200', '0.95509800', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000']"
"['Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ca', 'Ge', 'Ge', 'Ge', 'Ge']","['0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000']","['0.34654400', '0.65345600', '0.84654400', '0.15345600', '0.48017100', '0.51982900', '0.98017100', '0.01982900', '0.74766700', '0.25233300', '0.24766700', '0.75233300']","['0.07411500', '0.92588500', '0.42588500', '0.57411500', '0.67720200', '0.32279800', '0.82279800', '0.17720200', '0.10555800', '0.89444200', '0.39444200', '0.60555800']"
"['Ta', 'Ir', 'Ir', 'Ir']","['0.00000000', '0.50000000', '0.50000000', '0.00000000']","['0.00000000', '0.50000000', '0.00000000', '0.50000000']","['0.00000000', '0.00000000', '0.50000000', '0.50000000']"
"['Ho', 'N']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Os', 'Os']","['0.25000000', '0.75000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.50000000']","['0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.75000000', '0.25000000', '0.00000000', '0.50000000']","['0.50000000', '0.50000000', '0.25000000', '0.75000000', '0.00000000', '0.00000000', '0.00000000', '0.50000000']"
"['Co', 'Co', 'Co', 'Co', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb']","['0.00074500', '0.50074500', '0.99925500', '0.49925500', '0.64438100', '0.14438100', '0.35561900', '0.85561900', '0.35970100', '0.85970100', '0.64029900', '0.14029900']","['0.27054900', '0.72945100', '0.72945100', '0.27054900', '0.34857600', '0.65142400', '0.65142400', '0.34857600', '0.14700800', '0.85299200', '0.85299200', '0.14700800']","['0.71734200', '0.78265800', '0.28265800', '0.21734200', '0.83361800', '0.66638200', '0.16638200', '0.33361800', '0.62980600', '0.87019400', '0.37019400', '0.12980600']"
"['Ti', 'F', 'F']","['0.00000000', '0.25000000', '0.75000000']","['0.00000000', '0.25000000', '0.75000000']","['0.00000000', '0.25000000', '0.75000000']"
"['Y', 'Y', 'Rh', 'Rh', 'Rh', 'Rh']","['0.00000000', '0.25000000', '0.12500000', '0.62500000', '0.62500000', '0.62500000']","['0.00000000', '0.25000000', '0.62500000', '0.62500000', '0.62500000', '0.12500000']","['0.00000000', '0.25000000', '0.62500000', '0.62500000', '0.12500000', '0.62500000']"
"['Ga', 'Ga', 'Ga', 'Ga', 'O', 'O', 'O', 'O', 'O', 'O']","['0.65841000', '0.34159000', '0.08987800', '0.91012200', '0.49589700', '0.50410300', '0.17359800', '0.82640200', '0.83649700', '0.16350300']","['0.65841000', '0.34159000', '0.08987800', '0.91012200', '0.49589700', '0.50410300', '0.17359800', '0.82640200', '0.83649700', '0.16350300']","['0.68591800', '0.31408200', '0.20523900', '0.79476100', '0.74350900', '0.25649100', '0.43570600', '0.56429400', '0.10895300', '0.89104700']"
"['Tm', 'Pd']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
['Rh'],['0.00000000'],['0.00000000'],['0.00000000']
"['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li']","['0.47165800', '0.47165800', '0.05668500', '0.52834200', '0.52834200', '0.94331500', '0.00000000', '0.00000000', '0.33333300', '0.66666700', '0.66666700', '0.33333300', '0.09942000', '0.09942000', '0.80115900', '0.90058000', '0.90058000', '0.19884100', '0.16333000', '0.16333000', '0.67333900', '0.83667000', '0.83667000', '0.32666100', '0.83667000', '0.83667000', '0.32666100', '0.16333000', '0.16333000', '0.67333900']","['0.52834200', '0.94331500', '0.52834200', '0.47165800', '0.05668500', '0.47165800', '0.00000000', '0.00000000', '0.66666700', '0.33333300', '0.33333300', '0.66666700', '0.90058000', '0.19884100', '0.90058000', '0.09942000', '0.80115900', '0.09942000', '0.83667000', '0.32666100', '0.83667000', '0.16333000', '0.67333900', '0.16333000', '0.16333000', '0.67333900', '0.16333000', '0.83667000', '0.32666100', '0.83667000']","['0.25000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.75000000', '0.50000000', '0.00000000', '0.91518300', '0.08481700', '0.41518300', '0.58481700', '0.25000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.75000000', '0.93335200', '0.93335200', '0.93335200', '0.06664800', '0.06664800', '0.06664800', '0.43335200', '0.43335200', '0.43335200', '0.56664800', '0.56664800', '0.56664800']"
"['La', 'F', 'F', 'F']","['0.00000000', '0.75000000', '0.50000000', '0.25000000']","['0.00000000', '0.25000000', '0.50000000', '0.75000000']","['0.00000000', '0.50000000', '0.00000000', '0.50000000']"
"['Cs', 'Cs']","['0.25000000', '0.50000000']","['0.75000000', '0.50000000']","['0.50000000', '0.00000000']"
"['Sc', 'Ga', 'Ga', 'Ga']","['0.00000000', '0.50000000', '0.50000000', '0.00000000']","['0.00000000', '0.50000000', '0.00000000', '0.50000000']","['0.00000000', '0.00000000', '0.50000000', '0.50000000']"
"['Gd', 'B', 'B']","['0.00000000', '0.33333300', '0.66666700']","['0.00000000', '0.66666700', '0.33333300']","['0.00000000', '0.50000000', '0.50000000']"
"['Tm', 'Cu']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['Y', 'Sb']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['Tb', 'Tb', 'Tb', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","['0.78195900', '0.21804100', '0.00000000', '0.70280700', '0.26346100', '0.70280700', '0.50000000', '0.50000000', '0.00000000', '0.73653900', '0.29719300', '0.29719300']","['0.78195900', '0.21804100', '0.00000000', '0.70280700', '0.70280700', '0.26346100', '0.50000000', '0.00000000', '0.50000000', '0.29719300', '0.29719300', '0.73653900']","['0.78195900', '0.21804100', '0.00000000', '0.26346100', '0.70280700', '0.70280700', '0.00000000', '0.50000000', '0.50000000', '0.29719300', '0.73653900', '0.29719300']"
"['Zr', 'Rh', 'Rh', 'Rh']","['0.00000000', '0.50000000', '0.50000000', '0.00000000']","['0.00000000', '0.50000000', '0.00000000', '0.50000000']","['0.00000000', '0.00000000', '0.50000000', '0.50000000']"
"['Ga', 'Ga', 'N', 'N']","['0.66666700', '0.33333300', '0.66666700', '0.33333300']","['0.33333300', '0.66666700', '0.33333300', '0.66666700']","['0.49912000', '0.99912000', '0.87588000', '0.37588000']"
"['Ga', 'N']","['0.00000000', '0.25000000']","['0.00000000', '0.25000000']","['0.00000000', '0.25000000']"
"['Fe', 'Fe', 'Se', 'Se', 'Se', 'Se']","['0.00000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000']","['0.00000000', '0.50000000', '0.21825100', '0.78174900', '0.71825100', '0.28174900']","['0.00000000', '0.50000000', '0.36719600', '0.63280400', '0.13280400', '0.86719600']"
"['Dy', 'Dy', 'Dy', 'Dy', 'Dy', 'Dy', 'Dy', 'Dy', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","['0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.50000000', '0.00000000', '0.50000000', '0.00000000']","['0.16367900', '0.83632100', '0.16367900', '0.83632100', '0.40074200', '0.59925800', '0.40074200', '0.59925800', '0.66296300', '0.33703700', '0.66296300', '0.33703700', '0.93165400', '0.06834600', '0.06834600', '0.93165400']","['0.48244100', '0.51755900', '0.01755900', '0.98244100', '0.16832200', '0.83167800', '0.33167800', '0.66832200', '0.40137800', '0.59862200', '0.09862200', '0.90137800', '0.25000000', '0.75000000', '0.75000000', '0.25000000']"
"['Mg', 'Mg', 'Ge']","['0.75000000', '0.25000000', '0.00000000']","['0.75000000', '0.25000000', '0.00000000']","['0.75000000', '0.25000000', '0.00000000']"
"['Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge']","['0.28551900', '0.71448100', '0.97307000', '0.46994700', '0.27823300', '0.02693000', '0.53005300', '0.72176700']","['0.28551900', '0.71448100', '0.46994700', '0.27823300', '0.97307000', '0.53005300', '0.72176700', '0.02693000']","['0.28551900', '0.71448100', '0.27823300', '0.97307000', '0.46994700', '0.72176700', '0.02693000', '0.53005300']"
"['Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb']","['0.45971300', '0.95971300', '0.54028700', '0.04028700', '0.54028700', '0.04028700', '0.45971300', '0.95971300', '0.14184800', '0.64184800', '0.85815200', '0.35815200', '0.85815200', '0.35815200', '0.14184800', '0.64184800']","['0.10641100', '0.39358900', '0.60641100', '0.89358900', '0.89358900', '0.60641100', '0.39358900', '0.10641100', '0.08268100', '0.41731900', '0.58268100', '0.91731900', '0.91731900', '0.58268100', '0.41731900', '0.08268100']","['0.87268200', '0.12731800', '0.62731800', '0.37268200', '0.12731800', '0.87268200', '0.37268200', '0.62731800', '0.10930900', '0.89069100', '0.39069100', '0.60930900', '0.89069100', '0.10930900', '0.60930900', '0.39069100']"
"['Pu', 'O']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","['0.00000000', '0.00000000', '0.46774100', '0.53225900', '0.93548300', '0.06451700', '0.46774100', '0.53225900', '0.19448100', '0.80551900', '0.38896200', '0.61103800', '0.19448100', '0.80551900', '0.80551900', '0.80551900', '0.38896200', '0.61103800', '0.19448100', '0.19448100', '0.33333300', '0.66666700', '0.12743500', '0.87256500', '0.25487000', '0.74513000', '0.12743500', '0.87256500']","['0.00000000', '0.00000000', '0.93548300', '0.46774100', '0.46774100', '0.53225900', '0.53225900', '0.06451700', '0.38896200', '0.19448100', '0.19448100', '0.80551900', '0.80551900', '0.61103800', '0.19448100', '0.61103800', '0.19448100', '0.80551900', '0.38896200', '0.80551900', '0.66666700', '0.33333300', '0.25487000', '0.12743500', '0.12743500', '0.87256500', '0.87256500', '0.74513000']","['0.00000000', '0.50000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.94024200', '0.44024200', '0.44024200', '0.94024200', '0.94024200', '0.05975800', '0.05975800', '0.44024200', '0.05975800', '0.55975800', '0.55975800', '0.55975800', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000']"
"['Ba', 'Ba', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']","['0.25000000', '0.75000000', '0.00000000', '0.50000000', '0.93538600', '0.43538600', '0.20575800', '0.79424200', '0.43538600', '0.20575800', '0.79424200', '0.29424200', '0.70575800', '0.93538600', '0.93538600', '0.70575800', '0.06461400', '0.06461400', '0.29424200', '0.56461400', '0.56461400', '0.43538600', '0.56461400', '0.79424200', '0.20575800', '0.70575800', '0.29424200', '0.06461400']","['0.25000000', '0.75000000', '0.00000000', '0.50000000', '0.70575800', '0.20575800', '0.43538600', '0.20575800', '0.56461400', '0.56461400', '0.43538600', '0.93538600', '0.29424200', '0.06461400', '0.29424200', '0.06461400', '0.93538600', '0.70575800', '0.70575800', '0.43538600', '0.79424200', '0.79424200', '0.20575800', '0.56461400', '0.79424200', '0.93538600', '0.06461400', '0.29424200']","['0.25000000', '0.75000000', '0.00000000', '0.50000000', '0.29424200', '0.56461400', '0.79424200', '0.43538600', '0.79424200', '0.43538600', '0.56461400', '0.70575800', '0.93538600', '0.70575800', '0.06461400', '0.29424200', '0.29424200', '0.93538600', '0.06461400', '0.20575800', '0.43538600', '0.20575800', '0.79424200', '0.20575800', '0.56461400', '0.06461400', '0.93538600', '0.70575800']"
"['Ce', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn']","['0.00000000', '0.00000000', '0.33333300', '0.66666700', '0.50000000', '0.50000000']","['0.00000000', '0.50000000', '0.66666700', '0.33333300', '0.00000000', '0.50000000']","['0.00000000', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000']"
"['Dy', 'Pd', 'Pd', 'Pd']","['0.00000000', '0.50000000', '0.00000000', '0.50000000']","['0.00000000', '0.00000000', '0.50000000', '0.50000000']","['0.00000000', '0.50000000', '0.50000000', '0.00000000']"
"['U', 'U', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn']","['0.66170000', '0.33830000', '0.35414600', '0.83969400', '0.10173500', '0.89826500', '0.00000000', '0.00000000', '0.50000000', '0.00000000', '0.70166400', '0.29833600', '0.00000000', '0.29833600', '0.70166400', '0.16030600', '0.64585400', '0.64585400', '0.35414600']","['0.66170000', '0.33830000', '0.35414600', '0.35414600', '0.10173500', '0.89826500', '0.00000000', '0.50000000', '0.00000000', '0.70166400', '0.29833600', '0.00000000', '0.29833600', '0.70166400', '0.00000000', '0.64585400', '0.64585400', '0.16030600', '0.83969400']","['0.66170000', '0.33830000', '0.83969400', '0.35414600', '0.10173500', '0.89826500', '0.50000000', '0.00000000', '0.00000000', '0.29833600', '0.00000000', '0.70166400', '0.70166400', '0.00000000', '0.29833600', '0.64585400', '0.16030600', '0.64585400', '0.35414600']"
"['V', 'V', 'V', 'V', 'V', 'V', 'As', 'As']","['0.50000000', '0.50000000', '0.25000000', '0.75000000', '0.00000000', '0.00000000', '0.50000000', '0.00000000']","['0.25000000', '0.75000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.00000000']","['0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.25000000', '0.75000000', '0.50000000', '0.00000000']"
"['U', 'U', 'U', 'U', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","['0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000']","['0.74971800', '0.25028200', '0.24971800', '0.75028200', '0.02954900', '0.97045100', '0.52954900', '0.47045100', '0.64005100', '0.35994900', '0.14005100', '0.85994900']","['0.12210500', '0.87789500', '0.37789500', '0.62210500', '0.66609800', '0.33390200', '0.83390200', '0.16609800', '0.43001500', '0.56998500', '0.06998500', '0.93001500']"
"['Yb', 'Yb']","['0.33333300', '0.66666700']","['0.66666700', '0.33333300']","['0.25000000', '0.75000000']"
['Ta'],['0.00000000'],['0.00000000'],['0.00000000']
"['Al', 'Al', 'F', 'F', 'F', 'F', 'F', 'F']","['0.00000000', '0.50000000', '0.75000000', '0.31422200', '0.81422200', '0.68577800', '0.25000000', '0.18577800']","['0.00000000', '0.50000000', '0.18577800', '0.75000000', '0.68577800', '0.25000000', '0.81422200', '0.31422200']","['0.00000000', '0.50000000', '0.31422200', '0.18577800', '0.25000000', '0.81422200', '0.68577800', '0.75000000']"
"['Th', 'P']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
"['Nd', 'Te']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Rh', 'Rh', 'O', 'O', 'O', 'O']","['0.00000000', '0.50000000', '0.30688100', '0.80688100', '0.19311900', '0.69311900']","['0.00000000', '0.50000000', '0.30688100', '0.19311900', '0.80688100', '0.69311900']","['0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.50000000', '0.00000000']"
"['Y', 'P']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Al', 'Os']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['Ge', 'Ge', 'Ge', 'Ge', 'Ir', 'Ir', 'Ir', 'Ir']","['0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000']","['0.80669600', '0.19330400', '0.30669600', '0.69330400', '0.99706600', '0.00293400', '0.49706600', '0.50293400']","['0.57615800', '0.42384200', '0.92384200', '0.07615800', '0.20874200', '0.79125800', '0.29125800', '0.70874200']"
"['Nb', 'Zn', 'Zn', 'Zn']","['0.00000000', '0.50000000', '0.00000000', '0.50000000']","['0.00000000', '0.00000000', '0.50000000', '0.50000000']","['0.00000000', '0.50000000', '0.50000000', '0.00000000']"
"['Hg', 'Se']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']","['0.00000000', '0.50000000']"
"['B', 'B', 'B', 'B', 'N', 'N', 'N', 'N']","['0.56642700', '0.43440000', '0.56420200', '0.17699900', '0.77833900', '0.38574000', '0.51178700', '0.37990600']","['0.43440000', '0.56642700', '0.17699900', '0.56420200', '0.38574000', '0.77833900', '0.37990600', '0.51178700']","['0.99979600', '0.49979600', '0.50817900', '0.00817900', '0.15921700', '0.65921700', '0.67890700', '0.17890700']"
['Zr'],['0.00000000'],['0.00000000'],['0.00000000']
"['Ta', 'Ta', 'Ta', 'Ta', 'Co', 'Co']","['0.16094200', '0.83905800', '0.33905800', '0.66094200', '0.25000000', '0.75000000']","['0.66094200', '0.33905800', '0.16094200', '0.83905800', '0.25000000', '0.75000000']","['0.82188400', '0.17811600', '0.50000000', '0.50000000', '0.00000000', '0.00000000']"
['Y'],['0.00000000'],['0.00000000'],['0.00000000']
"['Cr', 'C']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']","['0.50000000', '0.00000000']"
